SQL> /
2007-04-23 OM403-006
2007-04-23 RI900-001
2007-04-23 QUA417-007
2007-04-23 MRP200-004
2007-04-23 AR029-001
2007-04-23 AR245-007
2007-04-24 AP600-006
2007-04-24 PO007-002
2007-04-24 RI401-005
2007-04-24 OM403-007
2007-04-24 AP223-002
2007-04-25 OM403-008
2007-04-25 AR600-014
2007-04-25 OM205-018
2007-04-26 OM403-009
2007-04-26 QUA023-004
2007-04-26 QUA024-005
2007-04-26 AR250-002
2007-04-26 AR886-001
2007-04-27 BIL213-014
2007-04-28 RI401-006
2007-04-28 RI200-012
2007-04-28 AR236g-008
2007-04-30 RI899-002
2007-04-30 AR204-008
2007-04-30 EAM009-001
2007-04-30 QUA027-002
2007-04-30 AR205-006
2007-04-30 INV220-016
2007-05-01 PO208-010
2007-05-01 AR615-004
2007-05-02 INV410-003
2007-05-02 PO007-003
2007-05-02 OM003-005
2007-05-02 WIP405-005
2007-05-02 BIL213-015
2007-05-02 PO015-001
2007-05-03 BIL213-016
2007-05-03 RI900-002
2007-05-03 RI604-004
2007-05-03 EAM011-001
2007-05-03 AR600-015
2007-05-04 OM003-006
2007-05-04 MRP400-003
2007-05-04 AR886-002
2007-05-04 OM205-019
2007-05-05 AR236d-006
2007-05-05 AR236i-003
2007-05-05 AR236e-004
2007-05-05 AR236f-002
2007-05-05 AR236j-001
2007-05-05 AR236d-007
2007-05-07 AR236d-008
2007-05-07 AR886-003
2007-05-07 QUA436-003
2007-05-09 RI401-007
2007-05-09 CM019-001
2007-05-09 AR825-001
2007-05-09 AP221-004
2007-05-09 QUA419-007
2007-05-10 CM202-008
2007-05-10 AR236j-002
2007-05-11 AR407-013
2007-05-11 AR208-003
2007-05-14 CM015-001
2007-05-14 AR888-001
2007-05-14 AR886-004
2007-05-14 PO016-001
2007-05-15 RI401-008
2007-05-15 AR907-001
2007-05-15 AR603-012
2007-05-16 PO016-002
2007-05-16 CM211-007
2007-05-16 AR204-009
2007-05-16 CM015-002
2007-05-16 OM401-010
2007-05-16 RI205-008
2007-05-16 AR245-008
2007-05-16 AR245-009
2007-05-17 OM219-007
2007-05-17 AP898-001
2007-05-18 QUA411-010
2007-05-18 AR906-001
2007-05-18 INV220-017
2007-05-18 AP220-003
2007-05-21 AP011-001
2007-05-21 AP012-001
2007-05-21 MRP882-001
2007-05-21 AR823-003
2007-05-21 AP897-001
2007-05-21 MRP200-005
2007-05-21 AR236d-009
2007-05-21 AR236k-001
2007-05-21 AP011-002
2007-05-21 AP005-001
2007-05-22 AP015-001
2007-05-22 AP012-002
2007-05-22 AR603-013
2007-05-22 RI200-013
2007-05-23 CM019-002
2007-05-23 INST001-004
2007-05-23 QUA206-005
2007-05-24 AR236k-002
2007-05-24 AR887-001
2007-05-24 RI889-003
2007-05-24 BIL001-009
2007-05-24 CM202-009
2007-05-24 AP810-002
2007-05-24 RI200-014
2007-05-24 RI019-001
2007-05-24 RI020-001
2007-05-24 RI013-001
2007-05-24 AR407-014
2007-05-24 AP810-003
2007-05-24 AR236d-010
2007-05-24 PO016-003
2007-05-24 OM403-010
2007-05-25 CM201-008
2007-05-25 RI013-002
2007-05-25 OM403-011
2007-05-25 AP897-002
2007-05-25 CM211-008
2007-05-25 RI899-003
2007-05-25 OM409-004
2007-05-28 CM017-004
2007-05-28 AR822-001
2007-05-29 AP222-002
2007-05-29 PO007-004
2007-05-29 FND203-001
2007-05-29 FND202-006
2007-05-29 BIL230-003
2007-05-29 AR407-015
2007-05-29 AR886-005
2007-05-29 OM451-005
2007-05-29 EAM012-001
2007-05-29 RI250-003
2007-05-29 RI019-002
2007-05-29 QUA419-008
2007-05-30 AR236g-009
2007-05-30 RI200-015
2007-05-30 GL878-001
2007-05-30 AR271-005
2007-05-30 PO016-004
2007-05-30 INV012-002
2007-05-30 AR614-004
2007-05-30 PO016-005
2007-05-30 AR204-010
2007-05-30 RI881-001
2007-05-30 PO007-005
2007-05-30 AR031-001
2007-05-30 EAM407-008
2007-05-30 CM206-003
2007-05-30 AP005-002
2007-05-31 BIL213-017
2007-05-31 AP911-001
2007-05-31 EAM012-002
2007-05-31 RI603-005
2007-05-31 CM206-004
2007-05-31 RI908-001
2007-06-01 AP011-003
2007-06-01 AP810-004
2007-06-04 AR236e-005
2007-06-04 QUA419-009
2007-06-04 AR603-014
2007-06-04 AR236k-003
2007-06-04 QUA411-011
2007-06-04 AR236k-004
2007-06-04 BOM200-011
2007-06-04 AR910-001
2007-06-04 AP810-005
2007-06-05 CM202-010
2007-06-05 PO007-006
2007-06-06 RI908-002
2007-06-06 QUA417-008
2007-06-06 RI203-007
2007-06-11 RI019-003
2007-06-11 RI908-003
2007-06-12 AR011-001
2007-06-12 QUA205-003
2007-06-12 AP897-003
2007-06-12 AR236d-011
2007-06-13 QUA419-010
2007-06-13 AR614-005
2007-06-14 GL601-003
2007-06-14 RI603-006
2007-06-14 RI604-005
2007-06-14 AR236f-003
2007-06-15 AR236h-003
2007-06-15 BIL213-018
2007-06-15 AR209-012
2007-06-15 RI226-005
2007-06-18 CM211-009
2007-06-18 AR286-007
2007-06-18 RI018-001
2007-06-18 FND001-001
2007-06-18 AP810-006
2007-06-19 QUA430-002
2007-06-19 RI023-001
2007-06-19 RI603-007
2007-06-19 RI604-006
2007-06-19 AR219-005
2007-06-19 AR236h-004
2007-06-19 CM211-010
2007-06-19 CM202-011
2007-06-20 AR603-015
2007-06-20 CM026-001
2007-06-20 RI205-009
2007-06-20 INV220-018
2007-06-20 MRP200-006

209 rows selected.

SQL> spool off
