MDB_AP_AP214_00001.sql               1177 ap/ap214/p1
MDB_AP_PAYGROUP_R_AI.trg             1181 ap/ap214/p1
MDB_AP_PAYGROUP_R_AI.trg             2031 ap/ap214/p2
MDB_AP_PAYGROUP_PKB.pls              2690 ap/ap214/p3
MDB_AP_PAYGROUP_PKS.pls              2690 ap/ap214/p3
MDB_AP_PAYGROUP_R_AI.trg             2690 ap/ap214/p3
MDB_AP_COLLECTION_DOC_FP.ldt            1 ap/ap601/p1
MDB_AP_COLLECTION_DOC_FP.ldt            1 ap/ap601/p2
MDB_AP_COLLECTION_DOC_PKB.pls           1 ap/ap601/p2
MDB_AP_COLLECTION_DOC_PKS.pls           1 ap/ap601/p2
MDB_AP_COLLECTION_DOC_FP.ldt            1 ap/ap601/p3
MDB_AP_COLLECTION_DOC_PKB.pls        2992 ap/ap601/p4
MDB_AP_COLLECTION_DOC_PKS.pls        2992 ap/ap601/p4
objetos.txt                          3102 ap/ap601/p5
MDB_AR_TRANSFER_BATCHES_FP.ldt       1058 ar/AR617_Tela_Lotes_Ocorrencias/p1
MDB_AR_ALTERA_CFOP_PKB.pls              1 ar/ar205_altera_cfop/p1
MDB_AR_ALTERA_CFOP_PKS.pls              1 ar/ar205_altera_cfop/p1
MDB_AR_ALTERA_CFOP_R_BI.trg             1 ar/ar205_altera_cfop/p1
MDB_AR_AR205_00001.sql                  1 ar/ar205_altera_cfop/p1
MDB_AR_ALTERA_CFOP_PKB.pls           2693 ar/ar205_altera_cfop/p2
MDB_AR_ALTERA_CFOP_PKS.pls           2693 ar/ar205_altera_cfop/p2
BS_AR_ATU_NOSSO_NUM_PKB.pls          1109 ar/ar208/p1
BS_AR_ATU_NOSSO_NUM_PKS.pls          1109 ar/ar208/p1
MDB_AR_ALTER_NUM_PKB.pls             1824 ar/ar208/p1
MDB_AR_ALTER_NUM_PKS.pls             1824 ar/ar208/p1
MDB_AR_ALTER_NUM_PKB.pls             2886 ar/ar208/p2
MDB_AR_ALTER_NUM_PKS.pls             2894 ar/ar208/p2
